Pair,Subject,Condition(individual-pre/hidden/visible/individual-post),Block,Trial,StimulusType,TargetSize(small/large),TargetPosition(center/margin),ObstaclePresence(absent/present),Error(yes/no),TT,AUC,Asynchrony
1,1,1,6,5,210,2,1,0,0,0.25101,27.658,-1
1,1,1,6,6,220,2,2,0,0,0.27117,102.71,-1
1,1,1,6,7,111,1,1,1,0,0.35126,180.27,-1
1,1,1,6,8,120,1,2,0,0,0.20084,32.91,-1
1,1,1,6,9,221,2,2,1,0,0.32132,291.84,-1
1,1,1,6,10,110,1,1,0,0,0.24102,39.656,-1
1,1,1,6,11,121,1,2,1,0,0.28116,215.94,-1
1,1,1,6,12,110,1,1,0,0,0.77286,100.27,-1
1,1,1,6,13,111,1,1,1,0,0.36127,129.32,-1
1,1,1,6,14,220,2,2,0,0,0.27099,17.344,-1
1,1,1,6,15,211,2,1,1,0,0.89291,203.95,-1
1,1,1,6,16,121,1,2,1,0,0.62175,225.37,-1
1,1,2,1,1,120,1,2,0,0,0.84288,19.611,0.50783
1,1,2,1,2,221,2,2,1,0,0.2811,94.771,0.18106
1,1,2,1,3,211,2,1,1,0,0.34144,242.41,0.15059
1,1,2,1,4,111,1,1,1,0,0.31127,150.7,0.11026
1,1,2,1,5,121,1,2,1,0,0.33134,173.02,0.05002
1,1,2,1,6,211,2,1,1,0,0.62231,196.62,0.20043
1,1,2,1,7,111,1,1,1,0,0.31127,142.53,0.33125
1,1,2,1,8,121,1,2,1,0,0.3614,183.32,0.0066804
1,1,2,1,9,110,1,1,0,0,0.3012,29.696,0.060491
1,1,2,1,10,110,1,1,0,0,0.30127,16.379,0.020064
1,1,2,1,11,210,2,1,0,0,0.43156,73.646,0.14028
1,1,2,1,12,221,2,2,1,0,0.30149,230.75,0.1507
1,1,2,1,13,220,2,2,0,0,0.46184,66.127,0.15023
1,1,2,1,14,210,2,1,0,0,0.45191,65.447,0.08048
1,1,2,1,15,220,2,2,0,0,0.49171,54.723,0.17053
1,1,2,1,16,120,1,2,0,0,0.35121,25.948,0.019721
1,1,2,2,1,211,2,1,1,0,0.6017,131.15,0.12999
1,1,2,2,2,111,1,1,1,0,0.45183,242.28,0.1907
1,1,2,2,3,121,1,2,1,0,0.41165,215.63,0.0098415
1,1,2,2,4,111,1,1,1,0,0.33143,181.22,0.11048
1,1,2,2,5,121,1,2,1,0,0.3014,177.92,0.14043
1,1,2,2,6,120,1,2,0,0,0.26104,36.536,0.070379
1,1,2,2,7,221,2,2,1,1,0.39504,0,0.046868
1,1,2,2,8,110,1,1,0,0,0.80254,26.943,0.51131
1,1,2,2,9,211,2,1,1,0,0.56206,301.32,0.23155
1,1,2,2,10,210,2,1,0,0,0.19096,92.226,0.16032
1,1,2,2,11,120,1,2,0,0,0.29115,12.375,0.0099528
1,1,2,2,12,221,2,2,1,0,0.3614,213.93,0.040375
1,1,2,2,13,220,2,2,0,0,0.22098,16.952,0.13067
1,1,2,2,14,220,2,2,0,0,0.24107,49.359,0.0502
1,1,2,2,15,110,1,1,0,0,0.28105,34.189,0.05035
1,1,2,2,16,210,2,1,0,0,0.29145,40.097,0.030184
1,1,2,3,1,120,1,2,0,0,0.45134,50.283,0.14987
1,1,2,3,2,220,2,2,0,0,0.2611,110.35,0.030014
1,1,2,3,3,110,1,1,0,0,0.22094,53.533,0.070552
1,1,2,3,4,210,2,1,0,0,0.37122,66.692,0.099939
1,1,2,3,5,111,1,1,1,0,0.30124,160.48,0.37173
1,1,2,3,6,211,2,1,1,0,0.3414,273.38,0.22094
1,1,2,3,7,221,2,2,1,0,0.33138,184.56,0.16031
1,1,2,3,8,210,2,1,0,0,0.24091,10.172,0.50246
1,1,2,3,9,121,1,2,1,0,0.63166,227.3,0.19965
1,1,2,3,10,121,1,2,1,0,0.30147,168.74,0.14049
1,1,2,3,11,120,1,2,0,0,0.28116,23.348,0.029946
1,1,2,3,12,211,2,1,1,0,0.3915,212.06,0.15062
1,1,2,3,13,110,1,1,0,0,0.22084,20.774,0.070297
1,1,2,3,14,220,2,2,0,0,0.21101,16.665,0.17059
1,1,2,3,15,221,2,2,1,0,0.28101,221.52,0.2715
1,1,2,3,16,111,1,1,1,0,0.33132,147.53,0.27089
1,1,2,4,1,110,1,1,0,0,0.34103,83.313,0.050346
1,1,2,4,2,120,1,2,0,0,0.51198,147.21,0.29082
1,1,2,4,3,211,2,1,1,0,0.69247,210.97,0.22065
1,1,2,4,4,210,2,1,0,0,0.24108,24.264,0.13037
1,1,2,4,5,221,2,2,1,0,0.46196,228.19,0.31132
1,1,2,4,6,221,2,2,1,0,0.32129,228.86,0.24087
1,1,2,4,7,121,1,2,1,0,0.35129,210.36,0.1807
1,1,2,4,8,120,1,2,0,0,0.281,34.224,0.14044
1,1,2,4,9,220,2,2,0,0,0.22101,95.994,0.11044
1,1,2,4,10,111,1,1,1,0,0.31127,165.83,0.17056
1,1,2,4,11,210,2,1,0,0,0.25105,56.254,0.070173
1,1,2,4,12,211,2,1,1,0,0.36131,117.97,0.16076
1,1,2,4,13,121,1,2,1,0,0.32141,196.96,0.060226
1,1,2,4,14,220,2,2,0,0,0.23084,49.625,0.1006
1,1,2,4,15,111,1,1,1,0,0.32133,103.05,0.11032
1,1,2,4,16,110,1,1,0,0,0.23086,16.658,0.13081
1,1,2,5,1,220,2,2,0,0,0.30097,56.582,0.0098067
1,1,2,5,2,121,1,2,1,1,0.23108,0,0.20106
1,1,2,5,3,110,1,1,0,0,0.38127,23.187,0.50222
1,1,2,5,4,211,2,1,1,0,0.4019,301.31,0.17034
1,1,2,5,5,210,2,1,0,0,0.46142,15.329,0.039849
1,1,2,5,6,120,1,2,0,0,0.25101,38.412,0.020252
1,1,2,5,7,211,2,1,1,0,0.34197,159.35,0.12982
1,1,2,5,8,210,2,1,0,0,0.25098,41.304,0.13066
1,1,2,5,9,220,2,2,0,0,0.28117,53.674,0.050272
1,1,2,5,10,111,1,1,1,0,0.47175,216.64,0.070015
